smiles,d,FEPA,FEHA,b_idx,n_idx
B1(C2CCC1CCC2)Nc1c(CC(C)(C)C)cn(CCC)n1,2.900333826,-219.8990634,-56.56389337,0,21
B(C(C)(C)C)(C(C)(C)C)/N=N\n1(C(C)(C)CCc2ccccc12),2.335194525,-209.4676852,-47.19963255,0,10
B(C=C(C(=O)[Cl]))(C=C(C(=O)[Cl]))N2C(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)CCN(CCC1(c8ccc(C)cc8))C2C1N(c3cc(N(C)C)ccc3)(c3cc(N(C)C)ccc3),3.52232845,-203.781111,-110.2288305,0,28
B(c1ccc(C)s1)(c1ccc(C)s1)C1C(C(=O)OCC)CCC2CC(Cl)N12,2.497402212,-214.8832783,-91.30352894,0,26
B(c1c(Cl)c(Cl)ccc1(Cl))(c1c(Cl)c(Cl)ccc1(Cl))C(=C(OC))C(=C(Br))N(c7c(C)cc(C)cc7(C))(c7c(C)cc(C)cc7(C)),3.303899685,-206.1467503,-93.33701193,0,26
B1(N(c2ccccc2)C(C)=C(C)N1(c3ccccc3))c3c1c(CCC)cccc1ccc2cccc(CC(C)CC)c2c3N(CCC)(CCC),3.100620485,-217.7757754,-51.91540688,0,43
B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1(Cl))(c1c(Cl)c(Cl)c(Cl)c(Cl)c1(Cl))c1onc(c8ccc(C(F)(F)F)cc8)n1,2.64214975,-196.2156896,-134.7120149,0,37
B1(Sc2ccccc2S1)C1(c8ccc(C(F)(F)F)cc8)CCCC(C12)CCCC2(CCCC)N1(CCNCC1),3.364014484,-218.1554851,-82.97437291,0,33
B(c1c(F)c(F)c(Cl)c(F)c1(F))(c1c(F)c(F)c(Cl)c(F)c1(F))C(C(F)(F)F)C(=C(CC(C)CC))N(CCCCC)(CCCCC),3.402283624,-207.0766011,-120.6598168,0,35
B(c1c(Cl)c(Cl)cc(Cl)c1(Cl))(c1c(Cl)c(Cl)cc(Cl)c1(Cl))Cc1c(S(=[O])(=[O])[O]CC)ccc(c6c(OC)cccc6(OC))n1,3.061355817,-218.0260181,-112.6488244,0,43
